Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Darar Madar Ali Robleh,"Quartier Ambouli, Djibouti",darar.alirobleh@example.com,25377258385,Djibouti,Contrôleur aérien,10,BTS en Contrôleur aérien,Lycée d’État de Djibouti,"Connaissance des protocoles, Prise de décision, Gestion du trafic aérien, Gestion du stress, Communication","Cisco CCNA (Université de Djibouti), Microsoft Certified: Azure Fundamentals (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Intermédiaire)","Voyage, Musique, Lecture","['Contrôleur aérien Junior chez Blanchard (2022-2025): Gestion du stress, Connaissance des protocoles, Communication, Prise de décision', 'Contrôleur aérien chez Djibouti Telecom (2017-2022): Gestion du stress, Connaissance des protocoles', 'Contrôleur aérien Junior chez Banque de Djibouti (2016-2017): Gestion du stress, Gestion du trafic aérien, Connaissance des protocoles, Prise de décision', 'Contrôleur aérien chez Djibouti Telecom (2015-2016): Prise de décision, Connaissance des protocoles, Communication']","['Caroline-Lucie Vincent, Manager, caroline-lucie.vincent', 'Julie Bonneau, Collègue, julie.bonneau']",Français,pdf,classic
Awaleh Hersi Madar Warsame,"Avenue Gabode, Djibouti",awaleh.madarwarsame@example.com,25377765568,Djibouti,Marin,6,Doctorat en {job},Lycée d’État de Djibouti,"Navigation, Sécurité maritime, Maintenance de navires, Travail d'équipe, Communication","CAPES (Lycée d’État de Djibouti), Cisco CCNA (Centre de Formation Technique de Balbala), IELTS (Centre de Formation Technique de Balbala)","Arabe (Débutant), Français (Intermédiaire), Afar (Débutant)","Cuisine, Photographie, Lecture, Musique","['Marin Junior chez Morel S.A.R.L. (2024-2025): Sécurité maritime, Navigation', 'Marin Junior chez Roux (2021-2024): Sécurité maritime, Navigation']","['Maria Mendez, Manager, maria.mendez']",Français,pdf,classic
Sucaad Ayan Ayub Farah,"Boulevard de la République, Djibouti",sucaad.ayubfarah@example.com,25377234051,Djibouti,Capitaine de navire,12,Baccalauréat,École Nationale de Commerce,"Gestion d'équipe, Sécurité maritime, Maintenance, Navigation, Commandement","TOEFL (Université de Djibouti), CFA Level 1 (Université de Djibouti)","Arabe (Débutant), Afar (Débutant)","Football, Voyage, Cuisine, Photographie","[""Capitaine de navire chez Laroche Bouvier S.A.S. (2023-2025): Gestion d'équipe, Sécurité maritime, Commandement, Maintenance"", 'Capitaine de navire Junior chez Électricité de Djibouti (2019-2023): Commandement, Sécurité maritime', ""Capitaine de navire Junior chez Djibouti Telecom (2014-2019): Navigation, Gestion d'équipe, Commandement"", ""Capitaine de navire Senior chez Gaillard (2013-2014): Commandement, Maintenance, Gestion d'équipe, Navigation, Sécurité maritime""]","['Danielle-Aurélie Rolland, Manager, danielle-aurélie.rolland']",Français,pdf,compact
Jawahir Habiba Awaleh Barkat,"Boulevard de la République, Djibouti",jawahir.awalehbarkat@example.com,25377174797,Djibouti,Paysagiste,11,Baccalauréat,Centre de Formation Technique de Balbala,"Communication client, CAO, Conception de jardins, Entretien paysager, Connaissance des plantes","Microsoft Certified: Azure Fundamentals (Université de Djibouti), CompTIA Security+ (Lycée d’État de Djibouti), Coursera Machine Learning (Université de Djibouti)","Arabe (Courant), Somali (Débutant), Afar (Intermédiaire)","Voyage, Musique","['Paysagiste Junior chez Hervé (2023-2025): CAO, Connaissance des plantes, Entretien paysager, Communication client', 'Paysagiste Senior chez Martin Vallet S.A. (2018-2023): Entretien paysager, CAO', 'Paysagiste chez Collet (2015-2018): Conception de jardins, CAO, Communication client, Connaissance des plantes, Entretien paysager', 'Paysagiste chez Colin (2014-2015): Connaissance des plantes, CAO, Conception de jardins, Communication client']","['Benjamin Perrin, Manager, benjamin.perrin']",Français,pdf,compact
Anwar Dini Abdi Barre,"Boulevard de la République, Djibouti",anwar.abdibarre@example.com,25377628666,Djibouti,Jardinier,16,Baccalauréat,Lycée d’État de Djibouti,"Connaissance des sols, Entretien des plantes, Taille, Irrigation","CompTIA Security+ (Institut de Formation Professionnelle), Google Data Analytics (Lycée d’État de Djibouti), CAPES (École Nationale de Commerce)",Arabe (Courant),"Cuisine, Musique, Voyage, Photographie","['Jardinier Senior chez Aéroport International de Djibouti (2023-2025): Taille, Entretien des plantes', ""Jardinier chez Rousseau (2020-2023): Taille, Utilisation d'outils, Entretien des plantes"", ""Jardinier chez Ministère de l’Éducation (2017-2020): Connaissance des sols, Taille, Entretien des plantes, Utilisation d'outils, Irrigation"", ""Jardinier Junior chez Gimenez (2014-2017): Taille, Connaissance des sols, Utilisation d'outils, Entretien des plantes""]","['Blake Duran, Manager, blake.duran', 'Audrey Nguyen, Collègue, audrey.nguyen']",Français,pdf,modern
Jawahir Nour Kalif Dawoud,"Boulevard de la République, Djibouti",jawahir.kalifdawoud@example.com,25377871716,Djibouti,Fleuriste,7,Licence en Fleuriste,École Nationale de Commerce,"Gestion des stocks, Connaissance des fleurs, Créativité, Service client","CFA Level 1 (Lycée d’État de Djibouti), IELTS (Université de Djibouti), CAPES (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Intermédiaire), Somali (Intermédiaire)","Photographie, Lecture, Cuisine, Voyage","['Fleuriste Junior chez Électricité de Djibouti (2023-2025): Composition florale, Créativité, Gestion des stocks, Service client, Connaissance des fleurs', 'Fleuriste chez Hôpital Général Peltier (2020-2023): Composition florale, Connaissance des fleurs, Gestion des stocks, Service client, Créativité']","['René Pires, Superviseur, rené.pires', 'Brigitte de Texier, Superviseur, brigitte.de.texier']",Français,pdf,compact
Lubna Aliyow Guedi Awaleh,"Quartier Ambouli, Djibouti",lubna.guediawaleh@example.com,25377889802,Djibouti,Écologiste,10,Master en Écologiste,Centre de Formation Technique de Balbala,"Communication, Analyse de données, Sensibilisation, Recherche environnementale, Conservation","Cisco CCNA (Centre de Formation Technique de Balbala), PMP (École Nationale de Commerce), First Aid Certification (Université de Djibouti)","Arabe (Intermédiaire), Français (Courant)","Voyage, Lecture, Photographie, Cuisine","['Écologiste Junior chez Électricité de Djibouti (2020-2025): Recherche environnementale, Conservation, Sensibilisation', 'Écologiste Senior chez Aéroport International de Djibouti (2015-2020): Analyse de données, Recherche environnementale, Communication, Conservation, Sensibilisation']","['Matthew Hill, Manager, matthew.hill']",Français,pdf,classic
Ismail Rahimo Ali Robleh,"Rue de Balbala, Djibouti",ismail.alirobleh@example.com,25377321657,Djibouti,Biologiste,19,Baccalauréat,École Nationale de Commerce,"Expérimentation, Connaissance biologique, Recherche scientifique, Analyse de données, Rédaction scientifique","TOEFL (Université de Djibouti), AWS Certified Solutions Architect (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Français (Débutant)","Photographie, Lecture","['Biologiste Senior chez Électricité de Djibouti (2024-2025): Analyse de données, Rédaction scientifique, Recherche scientifique, Connaissance biologique, Expérimentation', 'Biologiste Junior chez Collet (2023-2024): Rédaction scientifique, Expérimentation, Recherche scientifique', 'Biologiste Senior chez Banque de Djibouti (2019-2023): Recherche scientifique, Rédaction scientifique', 'Biologiste Senior chez Port de Djibouti (2016-2019): Connaissance biologique, Recherche scientifique, Expérimentation, Analyse de données', 'Biologiste chez Rousset S.A. (2011-2016): Expérimentation, Rédaction scientifique, Recherche scientifique', 'Biologiste Junior chez Gallet Faure S.A.R.L. (2007-2011): Expérimentation, Rédaction scientifique']","['Jordan Rich, Collègue, jordan.rich']",Français,pdf,classic
Idriss Youssouf Walid Barkhad,"Boulevard de la République, Djibouti",idriss.walidbarkhad@example.com,25377619937,Djibouti,Chimiste,14,Master en Chimiste,Université de Djibouti,"Synthèse, Rédaction scientifique, Expérimentation, Analyse chimique","Google Data Analytics (Université de Djibouti), Cisco CCNA (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Courant)","Lecture, Musique, Voyage, Cuisine","['Chimiste Senior chez Chartier Royer SARL (2024-2025): Expérimentation, Rédaction scientifique, Analyse chimique, Synthèse', 'Chimiste Junior chez Djibouti Telecom (2021-2024): Expérimentation, Rédaction scientifique, Sécurité en laboratoire, Analyse chimique, Synthèse', 'Chimiste Junior chez Ministère de l’Éducation (2020-2021): Synthèse, Sécurité en laboratoire']","['Joseph Ryan, Manager, joseph.ryan', 'Antoine Breton, Manager, antoine.breton']",Français,pdf,compact
Deeqa Jawahir Khaled Awaleh,"Quartier Ambouli, Djibouti",deeqa.khaledawaleh@example.com,25377917785,Djibouti,Physicien,12,Licence en Physicien,École Nationale de Commerce,"Modélisation, Expérimentation, Recherche scientifique, Analyse de données, Mathématiques","TOEFL (Université de Djibouti), CompTIA Security+ (Institut de Formation Professionnelle)","Français (Intermédiaire), Afar (Courant)","Musique, Voyage, Cuisine, Photographie","['Physicien Senior chez Guilbert SA (2020-2025): Analyse de données, Expérimentation, Mathématiques', 'Physicien chez Maillet Leclercq SARL (2016-2020): Expérimentation, Analyse de données, Mathématiques', 'Physicien Junior chez Port de Djibouti (2014-2016): Modélisation, Mathématiques', 'Physicien Senior chez Banque de Djibouti (2013-2014): Expérimentation, Recherche scientifique, Modélisation, Mathématiques']","['Édouard Meyer, Superviseur, édouard.meyer', 'Joseph Reyes, Manager, joseph.reyes']",Français,pdf,modern
Kassahun Conti,"8658 Charles Well Suite 935
New Matthewview, NE 58992",kassahun.conti@example.com,25377847478,Ethiopian,Mathématicien,17,Baccalauréat,École Nationale de Commerce,"Modélisation, Programmation, Résolution de problèmes, Enseignement",CFA Level 1 (Université de Djibouti),Anglais (Débutant),"Football, Voyage","['Mathématicien chez Pereira SARL (2022-2025): Programmation, Enseignement, Modélisation, Résolution de problèmes, Analyse', 'Mathématicien chez François Barbier SA (2018-2022): Analyse, Programmation, Enseignement, Modélisation, Résolution de problèmes', 'Mathématicien Senior chez Aéroport International de Djibouti (2013-2018): Modélisation, Analyse, Programmation, Enseignement', 'Mathématicien Junior chez Banque de Djibouti (2008-2013): Modélisation, Enseignement, Résolution de problèmes, Programmation']","['Philippe Dupuis, Superviseur, philippe.dupuis']",Français,pdf,classic
Duale Rachid Djamal Barkat,"Rue de Balbala, Djibouti",duale.djamalbarkat@example.com,25377336684,Djibouti,Statisticien,18,Licence en Statisticien,École Nationale de Commerce,"Logiciels (R, SPSS), Analyse de données, Rapport, Interprétation, Modélisation statistique","CFA Level 1 (Institut de Formation Professionnelle), Google Data Analytics (École Nationale de Commerce), IELTS (École Nationale de Commerce)","Arabe (Débutant), Français (Intermédiaire)","Cuisine, Lecture, Photographie","['Statisticien Senior chez Ministère de l’Éducation (2024-2025): Modélisation statistique, Logiciels (R, SPSS), Analyse de données', 'Statisticien chez Ministère de l’Éducation (2023-2024): Logiciels (R, SPSS), Interprétation, Rapport', 'Statisticien chez Électricité de Djibouti (2021-2023): Rapport, Analyse de données', 'Statisticien chez Électricité de Djibouti (2018-2021): Modélisation statistique, Rapport, Logiciels (R, SPSS), Interprétation, Analyse de données']","['Audrey Hernandez, Superviseur, audrey.hernandez', 'Bertrand Marie, Manager, bertrand.marie']",Français,pdf,classic
Sagal Nura Suleyman Barre,"Avenue Gabode, Djibouti",sagal.suleymanbarre@example.com,25377191195,Djibouti,Data scientist,12,BTS en Data scientist,Lycée d’État de Djibouti,"Programmation (Python, R), Machine learning, Visualisation, Analyse de données","Scrum Master (Lycée d’État de Djibouti), AWS Certified Solutions Architect (Université de Djibouti), CAPES (Centre de Formation Technique de Balbala)","Arabe (Débutant), Français (Débutant), Somali (Intermédiaire)","Football, Musique","['Data scientist Senior chez Carlier Michaud et Fils (2020-2025): Statistiques, Programmation (Python, R), Machine learning', 'Data scientist chez Carlier Roche et Fils (2016-2020): Analyse de données, Programmation (Python, R), Machine learning, Visualisation, Statistiques', 'Data scientist chez Hôpital Général Peltier (2013-2016): Analyse de données, Statistiques, Machine learning, Programmation (Python, R), Visualisation']","['Alex François, Collègue, alex.françois']",Anglais,pdf,compact
Amir Gebre,"402 Briana Keys
East Katherine, CA 58827",amir.gebre@example.com,25377439115,Other,Data analyst,10,Diplôme professionnel,École Nationale de Commerce,"Analyse de données, Visualisation, Rapport, SQL",Coursera Machine Learning (Institut de Formation Professionnelle),Anglais (Courant),"Lecture, Photographie, Cuisine","['Data analyst Junior chez Delorme (2021-2025): SQL, Excel', 'Data analyst Junior chez Électricité de Djibouti (2016-2021): SQL, Analyse de données, Visualisation']","['Susanne Ferreira, Collègue, susanne.ferreira', 'Keith Browning, Superviseur, keith.browning']",Français,pdf,modern
Tahlil Safia Abdallah Madar,"Cité Arhiba, Djibouti",tahlil.abdallahmadar@example.com,25377555310,Djibouti,Ingénieur civil,10,Doctorat en {job},Université de Djibouti,"Normes de construction, Conception de structures, CAO, Gestion de projets","CompTIA Security+ (Université de Djibouti), First Aid Certification (Université de Djibouti), CFA Level 1 (Lycée d’État de Djibouti)","Français (Courant), Afar (Intermédiaire)","Musique, Football, Photographie, Lecture","['Ingénieur civil chez Électricité de Djibouti (2023-2025): Conception de structures, Normes de construction', 'Ingénieur civil Junior chez Aéroport International de Djibouti (2021-2023): CAO, Conception de structures, Budgétisation', 'Ingénieur civil Junior chez Aéroport International de Djibouti (2019-2021): Gestion de projets, Normes de construction, Conception de structures', 'Ingénieur civil Senior chez Électricité de Djibouti (2017-2019): CAO, Gestion de projets']","['Bernard Fleury, Manager, bernard.fleury', 'Amy Ball, Collègue, amy.ball']",Français,pdf,modern
Anwar Ifra Khalif Warsame,"Rue de Balbala, Djibouti",anwar.khalifwarsame@example.com,25377786828,Djibouti,Ingénieur mécanique,20,Diplôme professionnel,Université de Djibouti,"Gestion de projets, CAO, Tests, Conception mécanique, Maintenance","First Aid Certification (École Nationale de Commerce), CompTIA Security+ (Institut de Formation Professionnelle)","Arabe (Débutant), Français (Débutant), Somali (Débutant), Afar (Intermédiaire)","Voyage, Football","['Ingénieur mécanique Junior chez Hôpital Général Peltier (2020-2025): Conception mécanique, CAO, Gestion de projets, Tests', 'Ingénieur mécanique Junior chez Lelièvre S.A. (2016-2020): Tests, CAO', 'Ingénieur mécanique Senior chez Normand (2013-2016): Maintenance, Gestion de projets, CAO', 'Ingénieur mécanique Junior chez Ministère de l’Éducation (2011-2013): Maintenance, CAO', 'Ingénieur mécanique Senior chez Ministère de l’Éducation (2008-2011): CAO, Gestion de projets, Maintenance, Tests', 'Ingénieur mécanique chez Banque de Djibouti (2006-2008): CAO, Conception mécanique, Tests']","['Patricia Da Costa, Collègue, patricia.da.costa']",Français,pdf,classic
Sudi Youssouf Barkat Duale,"Rue de Balbala, Djibouti",sudi.barkatduale@example.com,25377297545,Djibouti,Ingénieur électrique,0,Baccalauréat,École Nationale de Commerce,"Conception de circuits, Maintenance, CAO, Normes de sécurité",TOEFL (Université de Djibouti),"Arabe (Débutant), Français (Intermédiaire)","Photographie, Cuisine",[],"['Robert Gardner, Manager, robert.gardner']",Français,pdf,classic
Thomas Gebre,"11125 Michael Meadows
West Rachelshire, NY 89090",thomas.gebre@example.com,25377382199,English,Urbaniste,3,BTS en Urbaniste,Centre de Formation Technique de Balbala,"Réglementation, Consultation publique, SIG, Analyse spatiale, Planification urbaine","CompTIA Security+ (Institut de Formation Professionnelle), Scrum Master (Université de Djibouti)",Anglais (Débutant),"Cuisine, Photographie, Voyage, Lecture","['Urbaniste Senior chez Ministère de l’Éducation (2023-2025): SIG, Analyse spatiale, Consultation publique, Réglementation']","['Paulette Lombard, Collègue, paulette.lombard', 'Odette Seguin, Superviseur, odette.seguin']",Anglais,pdf,modern
Léo Rossi,"6, chemin Noël Sauvage
97429 Pereira",léo.rossi@example.com,25377665272,French,Géologue,0,Baccalauréat,Université de Djibouti,"Cartographie, Analyse des sols, Évaluation des risques, Rapport, Recherche",Scrum Master (Centre de Formation Technique de Balbala),Français (Courant),"Musique, Cuisine, Lecture, Photographie",[],"['Henriette Barthelemy du Arnaud, Collègue, henriette.barthelemy.du.arnaud', 'Stephanie Stephenson, Manager, stephanie.stephenson']",Français,pdf,compact
Farhiyo Youssouf Tahlil Warsame,"Cité Arhiba, Djibouti",farhiyo.tahlilwarsame@example.com,25377390056,Djibouti,Météorologue,16,Licence en Météorologue,Lycée d’État de Djibouti,"Communication, Analyse de données, Modélisation, Prévision météo, Instruments météo",Cisco CCNA (Université de Djibouti),"Arabe (Débutant), Somali (Intermédiaire), Afar (Intermédiaire)","Football, Voyage, Photographie, Musique","['Météorologue Junior chez Guilbert Chauvin S.A.R.L. (2022-2025): Instruments météo, Modélisation, Analyse de données, Prévision météo', 'Météorologue chez Djibouti Telecom (2019-2022): Prévision météo, Analyse de données, Modélisation, Instruments météo, Communication', 'Météorologue chez Aéroport International de Djibouti (2015-2019): Communication, Analyse de données, Instruments météo', 'Météorologue Junior chez Brun Albert et Fils (2014-2015): Modélisation, Prévision météo', 'Météorologue chez Fontaine (2012-2014): Instruments météo, Communication, Analyse de données, Modélisation, Prévision météo', 'Météorologue chez Aéroport International de Djibouti (2009-2012): Communication, Analyse de données, Instruments météo']","['Anne Merle-Clerc, Manager, anne.merle-clerc']",Français,pdf,modern
Hassan Muna Abokor Wais,"Quartier Ambouli, Djibouti",hassan.abokorwais@example.com,25377904857,Djibouti,Océanographe,1,Licence en Océanographe,École Nationale de Commerce,"Conservation, Analyse de données, Recherche marine, Échantillonnage","IELTS (Lycée d’État de Djibouti), TOEFL (École Nationale de Commerce), Cisco CCNA (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Intermédiaire)","Musique, Photographie","['Océanographe chez Djibouti Telecom (2024-2025): Conservation, Analyse de données, Recherche marine']","['Gina Martinez, Manager, gina.martinez']",Français,pdf,classic
Abdourahman Jamal Samatar Guedi,"Rue de Balbala, Djibouti",abdourahman.samatarguedi@example.com,25377562794,Djibouti,Astronome,5,Baccalauréat,École Nationale de Commerce,"Recherche, Programmation, Observation, Modélisation, Analyse de données","TOEFL (Université de Djibouti), CompTIA Security+ (École Nationale de Commerce), IELTS (École Nationale de Commerce)","Arabe (Intermédiaire), Français (Courant)","Photographie, Voyage, Musique","['Astronome Junior chez Rousseau (2022-2025): Recherche, Modélisation, Observation, Programmation, Analyse de données']","['Wayne Watson, Manager, wayne.watson']",Anglais,pdf,compact
Hamza Mekonnen,"30289 Smith Fields Apt. 387
Port Sarahborough, WV 55103",hamza.mekonnen@example.com,25377239851,Other,Psychologue,8,BTS en Psychologue,Lycée d’État de Djibouti,"Communication, Conseil, Diagnostic, Recherche, Écoute active","Google Data Analytics (Université de Djibouti), AWS Certified Solutions Architect (Centre de Formation Technique de Balbala)","Arabe (Courant), Anglais (Débutant)","Photographie, Voyage, Lecture","['Psychologue Senior chez Électricité de Djibouti (2024-2025): Écoute active, Communication, Diagnostic, Recherche', 'Psychologue Senior chez Ministère de l’Éducation (2022-2024): Communication, Diagnostic, Recherche', 'Psychologue Junior chez Guillot Lebon S.A.S. (2020-2022): Écoute active, Communication, Diagnostic, Conseil', 'Psychologue Junior chez Banque de Djibouti (2018-2020): Diagnostic, Écoute active']","['Jacqueline-Michèle Guillet, Superviseur, jacqueline-michèle.guillet', 'Nathalie Pereira, Collègue, nathalie.pereira']",Français,pdf,classic
Yassin Rihana Youssouf Omar,"Rue de Balbala, Djibouti",yassin.youssoufomar@example.com,25377521724,Djibouti,Psychiatre,19,Licence en Psychiatre,Institut de Formation Professionnelle,"Éthique, Prescription, Thérapie, Communication patient, Diagnostic","Microsoft Certified: Azure Fundamentals (Centre de Formation Technique de Balbala), Scrum Master (Université de Djibouti), PMP (Lycée d’État de Djibouti)","Arabe (Courant), Français (Débutant)","Photographie, Football, Musique","['Psychiatre Senior chez Électricité de Djibouti (2020-2025): Prescription, Diagnostic, Communication patient', 'Psychiatre Junior chez Djibouti Telecom (2018-2020): Prescription, Thérapie', 'Psychiatre chez Lebreton (2016-2018): Communication patient, Diagnostic, Éthique, Thérapie', 'Psychiatre Junior chez Poirier Lacombe S.A.R.L. (2012-2016): Éthique, Thérapie', 'Psychiatre Junior chez Aéroport International de Djibouti (2010-2012): Prescription, Thérapie, Diagnostic, Communication patient, Éthique']","['Eric Santos, Superviseur, eric.santos']",Français,pdf,modern
Abdirahman Yassin Youssouf Omar,"Quartier Ambouli, Djibouti",abdirahman.youssoufomar@example.com,25377976095,Djibouti,Travailleur social,9,Master en Travailleur social,Centre de Formation Technique de Balbala,"Évaluation des besoins, Empathie, Accompagnement, Médiation, Communication","CompTIA Security+ (Institut de Formation Professionnelle), Microsoft Certified: Azure Fundamentals (Lycée d’État de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire)","Cuisine, Photographie, Lecture, Musique","['Travailleur social Senior chez Djibouti Telecom (2021-2025): Communication, Accompagnement', 'Travailleur social Senior chez Baron (2020-2021): Médiation, Évaluation des besoins']","['Aurore Lefebvre du Charrier, Manager, aurore.lefebvre.du.charrier']",Français,pdf,compact
Ismahan Nimo Warsame Madar,"Rue de Balbala, Djibouti",ismahan.warsamemadar@example.com,25377270393,Djibouti,Conseiller d'orientation,17,BTS en Conseiller d'orientation,Institut de Formation Professionnelle,"Connaissance du marché, Planification, Évaluation, Communication","CompTIA Security+ (Université de Djibouti), PMP (Lycée d’État de Djibouti), Cisco CCNA (Institut de Formation Professionnelle)","Arabe (Débutant), Français (Débutant)","Photographie, Cuisine, Lecture","[""Conseiller d'orientation chez Aéroport International de Djibouti (2020-2025): Communication, Planification, Conseil"", ""Conseiller d'orientation Junior chez Hôpital Général Peltier (2019-2020): Conseil, Connaissance du marché, Planification, Évaluation"", ""Conseiller d'orientation Junior chez Mercier et Fils (2016-2019): Communication, Conseil, Connaissance du marché, Évaluation"", ""Conseiller d'orientation Junior chez Port de Djibouti (2014-2016): Planification, Conseil""]","['Lauren Mitchell, Collègue, lauren.mitchell']",Français,pdf,compact
Moustapha Saynab Madar Warsame,"Cité Arhiba, Djibouti",moustapha.madarwarsame@example.com,25377724332,Djibouti,Coach,20,Baccalauréat,Centre de Formation Technique de Balbala,"Communication, Motivation, Écoute, Fixation d'objectifs","CAPES (Centre de Formation Technique de Balbala), IELTS (Centre de Formation Technique de Balbala), PMP (École Nationale de Commerce)","Arabe (Courant), Français (Intermédiaire)","Football, Cuisine, Voyage, Photographie","['Coach chez Électricité de Djibouti (2024-2025): Planification, Écoute, Motivation', 'Coach Senior chez Neveu S.A. (2023-2024): Écoute, Communication, Planification', ""Coach Senior chez Ministère de l’Éducation (2020-2023): Fixation d'objectifs, Motivation, Planification, Écoute"", ""Coach Junior chez Ferreira Lopes SARL (2019-2020): Planification, Fixation d'objectifs, Motivation"", 'Coach Senior chez Delmas Barre S.A.S. (2016-2019): Écoute, Planification']","['Alix Ribeiro-Deschamps, Manager, alix.ribeiro-deschamps']",Français,pdf,compact
Ismail Suleyman Hassan Dini,"Quartier Ambouli, Djibouti",ismail.hassandini@example.com,25377434413,Djibouti,Formateur,13,Licence en Formateur,Centre de Formation Technique de Balbala,"Conception de cours, Communication, Pédagogie, Animation, Évaluation","First Aid Certification (Lycée d’État de Djibouti), PMP (Lycée d’État de Djibouti), Coursera Machine Learning (Centre de Formation Technique de Balbala)","Arabe (Courant), Somali (Intermédiaire)","Photographie, Lecture","['Formateur chez Aéroport International de Djibouti (2024-2025): Conception de cours, Évaluation, Animation', 'Formateur Senior chez Léger S.A.R.L. (2019-2024): Communication, Animation, Conception de cours, Pédagogie', 'Formateur Junior chez Alves (2015-2019): Communication, Conception de cours, Animation, Évaluation', 'Formateur chez Djibouti Telecom (2012-2015): Communication, Pédagogie, Évaluation, Animation, Conception de cours']","['Thierry Ledoux Le Regnier, Collègue, thierry.ledoux.le.regnier', 'Raymond Verdier, Collègue, raymond.verdier']",Français,pdf,classic
Ali Kamil Ibrahim Duale,"Quartier Ambouli, Djibouti",ali.ibrahimduale@example.com,25377574782,Djibouti,Animateur,7,Diplôme professionnel,Institut de Formation Professionnelle,"Créativité, Organisation, Animation, Communication, Travail d'équipe",Scrum Master (Institut de Formation Professionnelle),"Arabe (Débutant), Français (Débutant), Somali (Débutant)","Cuisine, Football, Musique, Lecture","['Animateur Senior chez Hôpital Général Peltier (2023-2025): Animation, Créativité, Organisation', ""Animateur Senior chez Hôpital Général Peltier (2018-2023): Communication, Travail d'équipe, Organisation, Créativité, Animation""]","['Josette Maillot, Manager, josette.maillot']",Français,pdf,modern
Aaden Haroun Abshir Robleh,"Rue de Balbala, Djibouti",aaden.abshirrobleh@example.com,25377899125,Djibouti,Éducateur spécialisé,2,Doctorat en {job},Institut de Formation Professionnelle,"Pédagogie, Empathie, Évaluation, Accompagnement, Communication","Microsoft Certified: Azure Fundamentals (École Nationale de Commerce), Google Data Analytics (Centre de Formation Technique de Balbala)","Arabe (Courant), Somali (Débutant), Afar (Courant), Anglais (Débutant)","Voyage, Cuisine, Football, Musique","['Éducateur spécialisé Senior chez Hôpital Général Peltier (2024-2025): Empathie, Évaluation', 'Éducateur spécialisé chez Pascal (2023-2024): Évaluation, Empathie']","['Summer Cohen, Collègue, summer.cohen', 'Simone Weiss, Collègue, simone.weiss']",Anglais,pdf,compact
Madar Nuradin Deria Hersi,"Rue de Balbala, Djibouti",madar.deriahersi@example.com,25377898708,Djibouti,Orthophoniste,19,BTS en Orthophoniste,Institut de Formation Professionnelle,"Thérapie, Communication, Diagnostic, Pédagogie","First Aid Certification (Institut de Formation Professionnelle), Microsoft Certified: Azure Fundamentals (Centre de Formation Technique de Balbala), TOEFL (École Nationale de Commerce)","Arabe (Courant), Français (Débutant), Afar (Courant)","Voyage, Lecture, Cuisine, Photographie","['Orthophoniste Senior chez Port de Djibouti (2020-2025): Diagnostic, Évaluation, Pédagogie', 'Orthophoniste Junior chez Benard (2015-2020): Évaluation, Communication', 'Orthophoniste Senior chez Banque de Djibouti (2013-2015): Évaluation, Communication, Diagnostic, Thérapie, Pédagogie', 'Orthophoniste Senior chez Parent (2012-2013): Pédagogie, Thérapie, Évaluation']","['Shane Kennedy, Manager, shane.kennedy']",Français,pdf,classic
Hawa Haniyo Houssein Hassan,"Rue de Balbala, Djibouti",hawa.housseinhassan@example.com,25377998304,Djibouti,Kinésithérapeute,12,Master en Kinésithérapeute,École Nationale de Commerce,"Massage, Communication patient, Rééducation, Anatomie","Scrum Master (École Nationale de Commerce), TOEFL (Centre de Formation Technique de Balbala)",Arabe (Intermédiaire),"Musique, Football","['Kinésithérapeute chez Pichon (2021-2025): Communication patient, Anatomie, Massage, Rééducation', 'Kinésithérapeute chez Boyer (2018-2021): Anatomie, Rééducation, Communication patient, Évaluation, Massage', 'Kinésithérapeute chez Djibouti Telecom (2017-2018): Évaluation, Massage, Rééducation, Anatomie', 'Kinésithérapeute chez Banque de Djibouti (2016-2017): Rééducation, Évaluation']","['Alphonse de Bousquet, Manager, alphonse.de.bousquet', 'Audrey Boutin, Manager, audrey.boutin']",Français,pdf,compact
Youssouf Omar Abdi Barre,"Cité Arhiba, Djibouti",youssouf.abdibarre@example.com,25377832547,Djibouti,Ergothérapeute,4,BTS en Ergothérapeute,Lycée d’État de Djibouti,"Empathie, Réadaptation, Évaluation, Communication, Planification","Microsoft Certified: Azure Fundamentals (Institut de Formation Professionnelle), Scrum Master (Centre de Formation Technique de Balbala), CFA Level 1 (Institut de Formation Professionnelle)","Arabe (Courant), Afar (Débutant)","Cuisine, Photographie","['Ergothérapeute chez Électricité de Djibouti (2023-2025): Planification, Réadaptation, Évaluation, Communication']","['Margot-Élodie Guilbert, Collègue, margot-élodie.guilbert']",Français,pdf,modern
